epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,3451.05,0.77475,0.5059,0.98971,0.95305,0.95219,0.96499,0.74721,0.78588,0.42513,1.05139,0.000445327,0.000445327,0.000445327
59,3512.99,0.76975,0.49384,0.98452,0.95653,0.95391,0.96606,0.7364,0.79649,0.42147,1.03562,0.000423894,0.000423894,0.000423894
60,3575.47,0.76705,0.48614,0.98411,0.9522,0.94534,0.96506,0.74544,0.78541,0.42471,1.03067,0.000402461,0.000402461,0.000402461
61,3637.98,0.71436,0.39987,0.93549,0.96734,0.95133,0.96765,0.74617,0.79259,0.41297,1.04205,0.000381029,0.000381029,0.000381029
62,3699.61,0.70113,0.38767,0.93011,0.94647,0.95435,0.96412,0.74979,0.77804,0.41341,1.03383,0.000359596,0.000359596,0.000359596
63,3760.63,0.69495,0.38035,0.92517,0.94694,0.95101,0.96398,0.75329,0.78252,0.40881,1.04005,0.000338163,0.000338163,0.000338163
64,3821.38,0.68331,0.37568,0.9238,0.93637,0.94872,0.96247,0.75578,0.75417,0.41825,0.98439,0.00031673,0.00031673,0.00031673
65,3882.33,0.68581,0.37249,0.92626,0.94797,0.95821,0.96531,0.75255,0.78184,0.41522,1.0409,0.000295297,0.000295297,0.000295297
66,3943.18,0.67823,0.36745,0.91983,0.95457,0.95575,0.9699,0.75161,0.78852,0.4034,1.06084,0.000273864,0.000273864,0.000273864
67,4004.12,0.66688,0.3617,0.91981,0.94964,0.95568,0.96136,0.75326,0.77451,0.40586,1.04692,0.000252431,0.000252431,0.000252431
68,4065.05,0.67555,0.36859,0.92199,0.95403,0.95748,0.96466,0.75024,0.77487,0.41048,1.03584,0.000230999,0.000230999,0.000230999
69,4126,0.65631,0.35913,0.91484,0.9483,0.95239,0.96381,0.75883,0.765,0.40002,1.02418,0.000209566,0.000209566,0.000209566
70,4186.6,0.65328,0.35056,0.91097,0.95656,0.95456,0.96255,0.75645,0.76897,0.40004,1.04927,0.000188133,0.000188133,0.000188133
